SALE_PK|AUT_SNAPSHOT_DATE|REID|VCS|LOCATION_ADDR|DIST|SALE_TYPE|YEAR_BUILT|BLDG_SIZE|STORY_HEIGHT|PRICE|SALE_DATE|SEQ|SALE_PRICE_SOURCE
46225|2015-06-30 00:12:00|9951071|956|72 LAKE POINTE CIR ||LAND & BLDG(S)|1994|1412|1.00|215000|2015-06-30 00:12:00||REV
81292|2017-02-06 16:58:00|9951104|1004|4085 TURNPIKE RD ||LAND & BLDG(S)|1981|1584|1.00|200000|2017-02-06 16:58:00||MLS
46482|2008-06-06 00:07:00|9951172|429|0 NO ADDRESS ASSIGNED ||LAND ONLY||||135000|2008-06-06 00:07:00||VER
79388|2016-11-14 09:37:00|9951584|1005|974 S OLD ASHEVILLE RD ||LAND ONLY||||192000|2016-11-14 09:37:00||REV
47153|2015-07-30 00:03:00|9953156|126E|7 CANDLESTICK DR ||LAND & BLDG(S)|1997|1504|1.00|175000|2015-07-30 00:03:00||REV
78353|2016-10-28 14:26:00|9953175|208B|13 BITTERSWEET DR ||LAND & BLDG(S)|1995|2240|1.00|179000|2016-10-28 14:26:00||REV
62428|2007-08-31 00:11:00|1003562|532|98 FREEMAN PLACE TRL ||LAND ONLY||||49000|2007-08-31 00:11:00||REV
47179|2011-08-31 00:16:00|9953186|1012|926 CAMP CREEK RD ||LAND & BLDG(S)|1996|1200|1.00|215000|2011-08-31 00:16:00||VER
227|2008-01-11 00:01:00|100315|101|1 HILLPARK DR ||LAND & BLDG(S)|1953|1686|1.00|155500|2008-01-11 00:01:00||VER
47390|2011-10-18 00:12:00|9954187|151B|328 HAPPY LN ||LAND & BLDG(S)|1995|1680|1.00|75000|2011-10-18 00:12:00||MLS
84980|2017-07-05 14:01:00|10001318|101|0 NO ADDRESS ASSIGNED ||LAND ONLY||||55000|2017-07-05 14:01:00||REV
47435|2011-08-11 00:06:00|9954334|807|100 W LAUREL LN ||LAND & BLDG(S)|1994|1632|1.00|229900|2011-08-11 00:06:00||VER
43961|2015-10-01 00:12:00|9954399|622|2340 BEAR PAW RIDGE RD ||LAND & BLDG(S)|1998|2620|1.00|322000|2015-10-01 00:12:00||REV
43970|2012-06-05 00:02:00|9954428|1015|3761 GERTON HWY ||LAND & BLDG(S)|1993|1792|2.00|155000|2012-06-05 00:02:00||REV
79944|2016-11-29 12:05:00|9954436|1015|0 NO ADDRESS ASSIGNED ||LAND ONLY||||235000|2016-11-29 12:05:00||REV
44183|2013-09-23 00:07:00|9954503|201A|80 STACY LN ||LAND ONLY||||56250|2013-09-23 00:07:00||MLS
62431|2007-12-10 00:08:00|1003565|532|22 NOBIES WAY ||LAND ONLY||||46000|2007-12-10 00:08:00||REV
44185|2008-10-22 00:05:00|9954504|201A|111 LINDSLEY CT ||LAND ONLY||||130000|2008-10-22 00:05:00||VER
77928|2016-05-04 10:52:00|9954508|201A|138 LINDSLEY CT ||LAND ONLY||||67500|2016-05-04 10:52:00||REV
44209|2014-11-19 00:18:00|9954533|171|16 SECRETARIAT DR ||LAND & BLDG(S)|1997|3446|1.70|343000|2014-11-19 00:18:00||MLS
81362|2017-02-07 15:56:00|9954560|1009|67 NIX RD ||LAND & BLDG(S)|1996|1462|1.00|186000|2017-02-07 15:56:00||MLS
44226|2009-07-24 00:03:00|9954560|1009|67 NIX RD ||LAND & BLDG(S)|1996|1462|1.00|162000|2009-07-24 00:03:00||VER
44235|2013-09-27 00:34:00|9954564|174|104 DUBLIN LN ||LAND & BLDG(S)|1996|2061|1.50|233000|2013-09-27 00:34:00||REV
44437|2008-06-25 00:02:00|9954591|207A|73 BOLTON CT ||LAND & BLDG(S)|1997|1080|1.00|135000|2008-06-25 00:02:00||VER
44465|2013-05-30 00:06:00|9954654|956|41 LAKE POINTE CIR ||LAND & BLDG(S)|1996|2619|1.00|290000|2013-05-30 00:06:00||VER
